[HeightDebug] world=(-16,10) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.91 creepOffset=0 netDelta=0 neighborAvg=82 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.991375 roughAmp=0.451005 hillAmp=0.647656 mountainAmp=0.546316 blends= [0] biome=little_mountains weight=0.991375 aggHeight=85.3226 normDist=0.70277 radius=269.901 worldDist=189.679 isOcean=false [1] biome=desert weight=0.00669762 aggHeight=31.1167 normDist=0.918225 radius=353.785 worldDist=324.854 isOcean=false [2] biome=little_mountains weight=0.001796 aggHeight=108.632 normDist=0.941392 radius=175.825 worldDist=165.52 isOcean=false [3] biome=ocean weight=0.000131645 aggHeight=-44.6162 normDist=0.969652 radius=520 worldDist=504.219 isOcean=true
[HeightDebug] world=(-16,11) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.6728 creepOffset=0 netDelta=0 neighborAvg=82 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.992646 roughAmp=0.450851 hillAmp=0.648014 mountainAmp=0.54688 blends= [0] biome=little_mountains weight=0.992646 aggHeight=85.3226 normDist=0.699589 radius=269.901 worldDist=188.82 isOcean=false [1] biome=desert weight=0.00567215 aggHeight=31.1167 normDist=0.920827 radius=353.785 worldDist=325.774 isOcean=false [2] biome=little_mountains weight=0.0015489 aggHeight=108.632 normDist=0.942988 radius=175.825 worldDist=165.801 isOcean=false [3] biome=ocean weight=0.000133141 aggHeight=-44.6162 normDist=0.969269 radius=520 worldDist=504.02 isOcean=true
[HeightDebug] world=(-16,12) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.5461 creepOffset=0 netDelta=0 neighborAvg=82 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.993752 roughAmp=0.450718 hillAmp=0.648325 mountainAmp=0.547368 blends= [0] biome=little_mountains weight=0.993752 aggHeight=85.3226 normDist=0.696413 radius=269.901 worldDist=187.963 isOcean=false [1] biome=desert weight=0.00478432 aggHeight=31.1167 normDist=0.923431 radius=353.785 worldDist=326.696 isOcean=false [2] biome=little_mountains weight=0.00132908 aggHeight=108.632 normDist=0.944616 radius=175.825 worldDist=166.087 isOcean=false [3] biome=ocean weight=0.000134554 aggHeight=-44.6162 normDist=0.968889 radius=520 worldDist=503.822 isOcean=true
[HeightDebug] world=(-16,13) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.5907 creepOffset=-0.0084601 netDelta=0 neighborAvg=81.875 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.994712 roughAmp=0.450603 hillAmp=0.648593 mountainAmp=0.54779 blends= [0] biome=little_mountains weight=0.994712 aggHeight=85.3226 normDist=0.693242 radius=269.901 worldDist=187.107 isOcean=false [1] biome=desert weight=0.00401799 aggHeight=31.1167 normDist=0.926035 radius=353.785 worldDist=327.617 isOcean=false [2] biome=little_mountains weight=0.0011343 aggHeight=108.632 normDist=0.946275 radius=175.825 worldDist=166.379 isOcean=false [3] biome=ocean weight=0.000135888 aggHeight=-44.6162 normDist=0.968513 radius=520 worldDist=503.627 isOcean=true
[HeightDebug] world=(-16,14) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.5207 creepOffset=-0.0338256 netDelta=0 neighborAvg=81.5 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.995542 roughAmp=0.450504 hillAmp=0.648824 mountainAmp=0.548153 blends= [0] biome=little_mountains weight=0.995542 aggHeight=85.3226 normDist=0.690076 radius=269.901 worldDist=186.253 isOcean=false [1] biome=desert weight=0.00335867 aggHeight=31.1167 normDist=0.928642 radius=353.785 worldDist=328.539 isOcean=false [2] biome=little_mountains weight=0.000962435 aggHeight=108.632 normDist=0.947966 radius=175.825 worldDist=166.676 isOcean=false [3] biome=ocean weight=0.000137142 aggHeight=-44.6162 normDist=0.968141 radius=520 worldDist=503.433 isOcean=true
[HeightDebug] world=(-16,15) finalSurfaceY=81 originalSurfaceY=81 rawHeight=81.3859 creepOffset=0.0169064 netDelta=0 neighborAvg=81.25 seaLevelDelta=61 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.996257 roughAmp=0.450419 hillAmp=0.649022 mountainAmp=0.548463 blends= [0] biome=little_mountains weight=0.996257 aggHeight=85.3226 normDist=0.686916 radius=269.901 worldDist=185.4 isOcean=false [1] biome=desert weight=0.00279342 aggHeight=31.1167 normDist=0.931249 radius=353.785 worldDist=329.462 isOcean=false [2] biome=little_mountains weight=0.000811485 aggHeight=108.632 normDist=0.949688 radius=175.825 worldDist=166.979 isOcean=false [3] biome=ocean weight=0.000138324 aggHeight=-44.6162 normDist=0.967772 radius=520 worldDist=503.241 isOcean=true
[HeightDebug] world=(-15,0) finalSurfaceY=84 originalSurfaceY=84 rawHeight=83.6404 creepOffset=0 netDelta=0 neighborAvg=84 seaLevelDelta=64 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.965288 roughAmp=0.454517 hillAmp=0.63946 mountainAmp=0.533437 blends= [0] biome=little_mountains weight=0.965288 aggHeight=85.3226 normDist=0.733049 radius=269.901 worldDist=197.851 isOcean=false [1] biome=desert weight=0.0301121 aggHeight=31.1167 normDist=0.891143 radius=353.785 worldDist=315.273 isOcean=false [2] biome=little_mountains weight=0.00451888 aggHeight=108.632 normDist=0.932745 radius=175.825 worldDist=164 isOcean=false [3] biome=ocean weight=8.11134e-05 aggHeight=-44.6162 normDist=0.975563 radius=520 worldDist=507.293 isOcean=true
[HeightDebug] world=(-15,1) finalSurfaceY=84 originalSurfaceY=84 rawHeight=83.5604 creepOffset=-0.0085854 netDelta=0 neighborAvg=83.875 seaLevelDelta=64 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.969601 roughAmp=0.453944 hillAmp=0.640797 mountainAmp=0.535538 blends= [0] biome=little_mountains weight=0.969601 aggHeight=85.3226 normDist=0.729812 radius=269.901 worldDist=196.977 isOcean=false [1] biome=desert weight=0.0262922 aggHeight=31.1167 normDist=0.893735 radius=353.785 worldDist=316.19 isOcean=false [2] biome=little_mountains weight=0.00402315 aggHeight=108.632 normDist=0.934009 radius=175.825 worldDist=164.222 isOcean=false [3] biome=ocean weight=8.32986e-05 aggHeight=-44.6162 normDist=0.975144 radius=520 worldDist=507.075 isOcean=true
[HeightDebug] world=(-15,2) finalSurfaceY=83 originalSurfaceY=83 rawHeight=83.4178 creepOffset=0.0428317 netDelta=0 neighborAvg=83.625 seaLevelDelta=63 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.973441 roughAmp=0.453436 hillAmp=0.641983 mountainAmp=0.537402 blends= [0] biome=little_mountains weight=0.973441 aggHeight=85.3226 normDist=0.726579 radius=269.901 worldDist=196.105 isOcean=false [1] biome=desert weight=0.022904 aggHeight=31.1167 normDist=0.896328 radius=353.785 worldDist=317.107 isOcean=false [2] biome=little_mountains weight=0.00356985 aggHeight=108.632 normDist=0.935307 radius=175.825 worldDist=164.451 isOcean=false [3] biome=ocean weight=8.54089e-05 aggHeight=-44.6162 normDist=0.974729 radius=520 worldDist=506.859 isOcean=true
[HeightDebug] world=(-15,3) finalSurfaceY=83 originalSurfaceY=83 rawHeight=83.2436 creepOffset=0.0170989 netDelta=0 neighborAvg=83.25 seaLevelDelta=63 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.976851 roughAmp=0.452986 hillAmp=0.643033 mountainAmp=0.539051 blends= [0] biome=little_mountains weight=0.976851 aggHeight=85.3226 normDist=0.72335 radius=269.901 worldDist=195.233 isOcean=false [1] biome=desert weight=0.0199049 aggHeight=31.1167 normDist=0.898923 radius=353.785 worldDist=318.025 isOcean=false [2] biome=little_mountains weight=0.00315663 aggHeight=108.632 normDist=0.936638 radius=175.825 worldDist=164.685 isOcean=false [3] biome=ocean weight=8.74438e-05 aggHeight=-44.6162 normDist=0.974317 radius=520 worldDist=506.645 isOcean=true
[HeightDebug] world=(-15,4) finalSurfaceY=83 originalSurfaceY=83 rawHeight=83.1337 creepOffset=0 netDelta=0 neighborAvg=83 seaLevelDelta=63 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.979874 roughAmp=0.452589 hillAmp=0.64396 mountainAmp=0.540509 blends= [0] biome=little_mountains weight=0.979874 aggHeight=85.3226 normDist=0.720126 radius=269.901 worldDist=194.363 isOcean=false [1] biome=desert weight=0.0172555 aggHeight=31.1167 normDist=0.901519 radius=353.785 worldDist=318.944 isOcean=false [2] biome=little_mountains weight=0.00278109 aggHeight=108.632 normDist=0.938001 radius=175.825 worldDist=164.924 isOcean=false [3] biome=ocean weight=8.94042e-05 aggHeight=-44.6162 normDist=0.973909 radius=520 worldDist=506.433 isOcean=true
[HeightDebug] world=(-15,5) finalSurfaceY=83 originalSurfaceY=83 rawHeight=82.9838 creepOffset=0 netDelta=0 neighborAvg=83 seaLevelDelta=63 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.982548 roughAmp=0.452238 hillAmp=0.644778 mountainAmp=0.541793 blends= [0] biome=little_mountains weight=0.982548 aggHeight=85.3226 normDist=0.716907 radius=269.901 worldDist=193.494 isOcean=false [1] biome=desert weight=0.0149198 aggHeight=31.1167 normDist=0.904116 radius=353.785 worldDist=319.862 isOcean=false [2] biome=little_mountains weight=0.00244088 aggHeight=108.632 normDist=0.939397 radius=175.825 worldDist=165.17 isOcean=false [3] biome=ocean weight=9.12904e-05 aggHeight=-44.6162 normDist=0.973504 radius=520 worldDist=506.222 isOcean=true
